Machine Module,SVA1075X,3.2.2.6.0R8
Trace Name,Trace A
Meas Type,S11
Start Frequency,+4.000000000E+09
Stop Frequency,+7.000000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
4000000000,-9.523660e+00
4015000000,-9.782123e+00
4030000000,-1.042827e+01
4045000000,-1.093919e+01
4060000000,-1.118036e+01
4075000000,-1.146236e+01
4090000000,-1.145721e+01
4105000000,-1.117691e+01
4120000000,-1.113995e+01
4135000000,-1.086279e+01
4150000000,-1.075654e+01
4165000000,-1.089365e+01
4180000000,-1.115240e+01
4195000000,-1.173273e+01
4210000000,-1.230525e+01
4225000000,-1.322255e+01
4240000000,-1.371644e+01
4255000000,-1.429072e+01
4270000000,-1.424391e+01
4285000000,-1.397460e+01
4300000000,-1.347553e+01
4315000000,-1.294076e+01
4330000000,-1.261552e+01
4345000000,-1.267628e+01
4360000000,-1.293698e+01
4375000000,-1.353858e+01
4390000000,-1.473978e+01
4405000000,-1.592489e+01
4420000000,-1.691241e+01
4435000000,-1.737280e+01
4450000000,-1.688202e+01
4465000000,-1.593971e+01
4480000000,-1.515072e+01
4495000000,-1.480108e+01
4510000000,-1.475446e+01
4525000000,-1.555534e+01
4540000000,-1.637059e+01
4555000000,-1.809948e+01
4570000000,-1.972089e+01
4585000000,-2.171791e+01
4600000000,-2.105803e+01
4615000000,-1.988743e+01
4630000000,-1.845855e+01
4645000000,-1.792702e+01
4660000000,-1.750087e+01
4675000000,-1.757454e+01
4690000000,-1.835869e+01
4705000000,-1.930585e+01
4720000000,-2.049801e+01
4735000000,-2.246717e+01
4750000000,-2.217318e+01
4765000000,-2.210400e+01
4780000000,-2.113117e+01
4795000000,-2.027867e+01
4810000000,-2.042283e+01
4825000000,-1.916136e+01
4840000000,-1.912971e+01
4855000000,-1.927445e+01
4870000000,-1.950718e+01
4885000000,-1.920583e+01
4900000000,-1.930695e+01
4915000000,-1.859063e+01
4930000000,-1.813134e+01
4945000000,-1.832231e+01
4960000000,-1.850059e+01
4975000000,-1.875689e+01
4990000000,-1.940668e+01
5005000000,-1.863835e+01
5020000000,-1.857776e+01
5035000000,-1.761751e+01
5050000000,-1.679100e+01
5065000000,-1.605579e+01
5080000000,-1.538777e+01
5095000000,-1.538926e+01
5110000000,-1.570575e+01
5125000000,-1.663642e+01
5140000000,-1.792944e+01
5155000000,-1.916200e+01
5170000000,-1.976452e+01
5185000000,-1.904331e+01
5200000000,-1.777255e+01
5215000000,-1.682064e+01
5230000000,-1.600025e+01
5245000000,-1.575108e+01
5260000000,-1.550561e+01
5275000000,-1.649271e+01
5290000000,-1.794817e+01
5305000000,-1.982548e+01
5320000000,-2.231383e+01
5335000000,-2.232927e+01
5350000000,-2.026237e+01
5365000000,-1.858202e+01
5380000000,-1.796009e+01
5395000000,-1.758109e+01
5410000000,-1.810826e+01
5425000000,-1.947050e+01
5440000000,-2.159704e+01
5455000000,-2.451248e+01
5470000000,-2.782350e+01
5485000000,-4.237456e+01
5500000000,-2.968915e+01
5515000000,-2.596045e+01
5530000000,-2.358040e+01
5545000000,-2.252164e+01
5560000000,-2.386474e+01
5575000000,-2.687193e+01
5590000000,-3.113198e+01
5605000000,-2.670051e+01
5620000000,-2.234098e+01
5635000000,-1.892937e+01
5650000000,-1.703176e+01
5665000000,-1.537777e+01
5680000000,-1.538425e+01
5695000000,-1.484600e+01
5710000000,-1.463038e+01
5725000000,-1.467822e+01
5740000000,-1.423916e+01
5755000000,-1.412012e+01
5770000000,-1.334365e+01
5785000000,-1.209100e+01
5800000000,-1.103467e+01
5815000000,-9.986235e+00
5830000000,-9.201167e+00
5845000000,-8.571426e+00
5860000000,-8.162108e+00
5875000000,-7.869914e+00
5890000000,-7.727631e+00
5905000000,-7.795166e+00
5920000000,-7.723921e+00
5935000000,-7.651438e+00
5950000000,-7.423114e+00
5965000000,-6.980212e+00
5980000000,-6.469429e+00
5995000000,-5.918049e+00
6010000000,-5.335039e+00
6025000000,-5.306148e+00
6040000000,-5.204660e+00
6055000000,-5.373884e+00
6070000000,-5.625617e+00
6085000000,-5.954995e+00
6100000000,-6.100485e+00
6115000000,-5.811382e+00
6130000000,-5.435612e+00
6145000000,-5.040987e+00
6160000000,-4.689429e+00
6175000000,-4.467450e+00
6190000000,-4.403037e+00
6205000000,-4.534044e+00
6220000000,-4.818532e+00
6235000000,-5.016179e+00
6250000000,-5.281987e+00
6265000000,-5.354748e+00
6280000000,-5.216771e+00
6295000000,-5.239998e+00
6310000000,-5.019764e+00
6325000000,-4.875491e+00
6340000000,-4.708338e+00
6355000000,-4.680972e+00
6370000000,-4.421790e+00
6385000000,-4.632609e+00
6400000000,-4.687100e+00
6415000000,-4.847579e+00
6430000000,-5.097027e+00
6445000000,-5.305960e+00
6460000000,-5.769882e+00
6475000000,-5.978660e+00
6490000000,-6.057061e+00
6505000000,-5.820175e+00
6520000000,-5.524365e+00
6535000000,-5.021588e+00
6550000000,-4.511117e+00
6565000000,-4.457807e+00
6580000000,-4.466839e+00
6595000000,-4.787290e+00
6610000000,-5.416594e+00
6625000000,-6.222405e+00
6640000000,-7.080399e+00
6655000000,-7.321620e+00
6670000000,-7.002400e+00
6685000000,-6.256524e+00
6700000000,-5.514737e+00
6715000000,-4.854266e+00
6730000000,-4.544174e+00
6745000000,-4.391676e+00
6760000000,-4.695303e+00
6775000000,-5.329695e+00
6790000000,-6.431217e+00
6805000000,-7.792613e+00
6820000000,-8.671815e+00
6835000000,-8.249478e+00
6850000000,-7.165510e+00
6865000000,-6.088067e+00
6880000000,-5.041459e+00
6895000000,-4.666382e+00
6910000000,-4.474088e+00
6925000000,-4.700859e+00
6940000000,-5.437456e+00
6955000000,-6.561646e+00
6970000000,-8.088337e+00
6985000000,-9.486888e+00
7000000000,-9.523031e+00
